Company #,Purchase Channel,# of Employees (log10),Annual Revenue (log10),Public/Private,Industry,Majority Employee Age Range,Subjective CSR Availability Score (out of 5)
1,1,2.176091259,2.1761,1,Financial Services,0,0
2,1,4.414973348,4.4150,0,IT,0,4
3,0,5.602059991,5.6021,0,Retail,2,4
4,0,4.079181246,4.0792,0,Financial Services,0,3
5,1,1.653212514,1.6532,1,Healthcare,2,0
6,1,4.214843848,4.2148,0,IT,1,4
7,0,1.602059991,1.6021,1,Food and Beverage,1,0
8,0,1.698970004,1.6990,1,IT,1,1
9,0,3.556302501,3.5563,0,IT,0,4
10,1,1.397940009,1.3979,0,Financial Services,2,5
11,1,1.84509804,1.8451,1,Real Estate,0,3
12,0,2.77815125,2.7782,1,IT,0,2
13,1,1.176091259,1.1761,1,Real Estate,2,0
14,0,2.875061263,2.8751,1,Advertising,1,0
15,0,2.247973266,2.2480,1,Advertising,2,0
16,0,1,1.0000,1,IT,0,3
17,0,2.397940009,2.3979,1,Real Estate,0,4
18,0,2.602059991,2.6021,1,Retail,2,3
19,1,2.255272505,2.2553,1,Food and Beverage,0,4
20,0,1.301029996,1.3010,1,Education,1,0
21,0,5,5.0000,1,Real Estate,2,4
22,1,3.414973348,3.4150,1,Hospitality,2,4
23,0,4.698970004,4.6990,1,Real Estate,1,5
24,0,4.033423755,4.0334,0,Retail,1,5
25,1,3.841734779,3.8417,1,Advertising,2,3
26,0,1.301029996,1.3010,1,Healthcare,0,3
27,0,4.941083884,4.9411,0,Hospitality,2,5
28,0,1.544068044,1.5441,1,Financial Services,0,1
29,1,1.84509804,1.8451,1,Advertising,1,4
30,1,2.903089987,2.9031,1,Healthcare,1,1
31,0,2,2.0000,1,Food and Beverage,1,0
32,1,5.130333768,5.1303,0,Manufacturing,0,5
33,1,2.243038049,2.2430,1,Hospitality,0,0
34,1,1.301029996,1.3010,1,Financial Services,0,1
35,0,5.146128036,5.1461,0,IT,1,5
36,0,1.903089987,1.9031,1,Retail,0,0
37,0,3.397940009,3.3979,0,Healthcare,0,0
38,0,1,1.0000,0,Financial Services,1,3
39,1,3.672097858,3.6721,1,Real Estate,1,4
40,0,3,3.0000,1,Healthcare,0,5
41,0,5.083144143,5.0831,0,IT,0,4
42,1,4,4.0000,0,IT,2,5
43,1,2.301029996,2.3010,1,Manufacturing,0,0
44,0,2.875061263,2.8751,0,Manufacturing,1,5
45,1,2.113943352,2.1139,1,Education,2,0
46,1,4.872156273,4.8722,0,Hospitality,2,4
47,0,5.344392274,5.3444,0,IT,2,4
48,0,1.602059991,1.6021,1,Hospitality,2,1
49,1,2.477121255,2.4771,1,Hospitality,1,4
50,1,5.434568904,5.4346,1,Financial Services,1,5
51,0,2.698970004,2.6990,1,Real Estate,2,4
52,1,4.113943352,4.1139,1,Food and Beverage,1,3
53,0,4.86332286,4.8633,0,Manufacturing,1,4
54,0,4.176091259,4.1761,0,Manufacturing,2,5
55,0,1.301029996,1.3010,1,Healthcare,2,3
56,1,2.477121255,2.4771,1,IT,0,1
57,1,3.62324929,3.6232,0,Manufacturing,0,2
58,0,3.968482949,3.9685,0,Financial Services,2,2
59,1,3.544068044,3.5441,1,Education,0,2
60,0,3.079181246,3.0792,0,Education,0,2
61,0,1.602059991,1.6021,0,Manufacturing,0,2
62,0,5.568201724,5.5682,0,Manufacturing,1,3
63,0,1.698970004,1.6990,1,Retail,1,2
64,1,4.301029996,4.3010,0,Financial Services,0,4
