#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-11-11T01:16:01 [V7.32.5]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	protocol=ASU	
#INFO	request_date=2023-11-11T01:16:01	
#INFO	request_post=https://vizier.cds.unistra.fr//viz-bin/asu-tsv	
#-oc.form=dec
#-out.max=50
#-order=I
#-out.src=J/A+A/537/A146/tables
#-nav=cat:J/A+A/537/A146&tab:{J/A+A/537/A146/tables}&key:source=J/A+A/537/A146/tables&HTTPPRM:&&-ref=VIZ654ed546d75bd&-out.max=50&-out.form=HTML Table&-oc.form=sexa&-order=I&-out=Mini&-ignore=track=*&track=track&Rot=n&-out=Line&Line=1&-out=Time&-out=logL&-out=logTe&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/A+A/537/A146/tables
#-source=J/A+A/537/A146/tables
#-out=Mini
#Rot=n
#-out=Line
#Line=1
#-out=Time
#-out=logL
#-out=logTe
#
#INFO	contact=cds-question@unistra.fr	
#INFO	version=7.32.5	
#INFO	-out.max=50	

#RESOURCE=yCat_35370146
#Name: J/A+A/537/A146
#Title: Stellar models with rotation. 0.8<M<120, Z=0.014 (Ekstrom+, 2012)
#INFO	ivoid=ivo://cds.vizier/j/a+a/537/a146	
#INFO	publisher=CDS	
#INFO	creator=Ekstrom S.	
#INFO	related_resource=bibcode:2012A&A...537A.146E	
#INFO	landing_page=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/537/A146	
#INFO	publication_id=doi:10.26093/cds/vizier.35370146	
#INFO	publication_date=2012-04-03	
#INFO	curation_level=RESEARCH	
#INFO	rights=https://cds.unistra.fr/vizier-org/licences_vizier.html	
#Table	J_A_A_537_A146_tables:
#Name: J/A+A/537/A146/tables
#Title: Evolutionary tracks
#Column	Mini	(F6.2)	Initial mass	[ucd=phys.mass]
#Column	Line	(I3)	[1/400] Number of selected point	[ucd=meta.id]
#Column	Time	(E12.5)	Age	[ucd=time.age]
#Column	logL	(F7.3)	Luminosity in log scale	[ucd=phys.luminosity]
#Column	logTe	(F5.3)	Effective temperature in log scale	[ucd=phys.temperature.effective;instr.scale]
Mini;Line;Time;logL;logTe
Msun; ;yr;[Lsun];[K]
------;---;------------;-------;-----
  0.80;  1; 7.47839e+07; -0.591;3.688
  0.90;  1; 4.48703e+07; -0.356;3.724
  1.00;  1; 4.48703e+07; -0.138;3.754
  1.10;  1; 2.74995e+07;  0.064;3.779
  1.25;  1; 2.74283e+07;  0.295;3.804
  1.35;  1; 2.08767e+07;  0.460;3.824
  1.50;  1; 1.59874e+07;  0.674;3.856
  1.70;  1; 1.34500e+07;  0.914;3.910
  2.00;  1; 9.14977e+06;  1.209;3.973
  2.50;  1; 4.86704e+06;  1.596;4.049
  3.00;  1; 2.85886e+06;  1.899;4.104
  4.00;  1; 1.42938e+06;  2.365;4.186
  5.00;  1; 8.33150e+05;  2.713;4.247
  7.00;  1; 4.01597e+05;  3.220;4.332
  9.00;  1; 2.49435e+05;  3.584;4.392
 12.00;  1; 1.68188e+05;  3.977;4.456
 15.00;  1; 1.17778e+05;  4.266;4.501
 20.00;  1; 7.80578e+04;  4.615;4.553
 25.00;  1; 5.97345e+04;  4.866;4.589
 32.00;  1; 4.33843e+04;  5.125;4.623
 40.00;  1; 3.64481e+04;  5.343;4.650
 60.00;  1; 2.83734e+04;  5.703;4.689
 85.00;  1; 2.31027e+04;  5.980;4.713
120.00;  1; 1.89357e+04;  6.231;4.730

